,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Observation ID,Date,Time,Troop,Observers,Location,Latitude ,Longitude,Rain Type,Land Use,Temperature,Cloud Cover,Wind,Wilderness,Den Type,Park Habitat,Troop Number,Complete Count?,Group Spread,Number juveniles/ Sub-Adults,# Pups,# Pregnant,Pregnant third,Identifiable Individuals,Number sick,Illness Rank,Description of Signs,Number injured,Description of Injuries,Feces,Urine,Anal Gland Secr.,Comments,Mix,Troop Name,Split,Columna1,Columna2,Columna3,Columna4
,CCH080516,8-May-16,9:40,CCH,Danial,At lodge,17.8273,25.13806,,,,,,,,,,,,23,,,,Radiocollar901,-,,-,-,-,no,no,no,,,,,,,,
,WCE080516,8-May-16,10:49,WCEST,CA and Sean,Crossing lower road going towards river,17.83949,25.09838,,,,,,,,,15,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CGL090516,9-May-16,9:00,CGL,CA and Sean,moving from maintenacne to lodge,17.84167,25.07586,,,,,,,,,12,,,-,,,,"Radiocollar, Forest, Orange",1?,,1- Nose slightly swollen ,1,front left paw limping,no,no,no,,,,,,,,
,WCW100516,10-May-16,10:00,WCWST,CA and Sean,signs of foraging along riverfront- looks about a day old,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CGL110516,11-May-16,8:18,CGL,CA and Sean,foraing and sunning on log outside of game lodge property,17.84421,25.07811,,,,,,,,,10,,,-,,,,"Radiocollar, orange, green",1?,,1- Nose slightly swollen ,1,front left paw limping,no,no,no,,,,,,,,
A,WCE110516,11-May-16,12:36,WCEST,CA and Sean,Tracks crossing road going towards river: can see them through binoculars on the riverfront,17.83902,25.09878,,,,,,,,,6,No,,-,,,,-,-,,-,-,-,no,no,no,Full capture: Baby,,,,,,,
B,WCE110516,11-May-16,16:04,WCEST,CA and Sean,Hear them on riverfront- faint signal from Baby's collar,17.836,26.10636,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,12-May-16,11:00,WCWST,"CA, Sean, Danial","Tracks from teak to riverfront, then back to the teak",-,-,,,,,,,,,30,No,,-,,,,-,-,,-,-,-,no,no,no,Looks like they are coming to the riverfront in the mornings,,,,,,,
,WA130516,13-May-16,13:12,WA,CA and Sean,Behind shell- some foraging,17.79647,25.15393,,,,,,,,,15,No,,2,,,,"Radiocollar, Blue Plastic, Sir",-,,-,-,-,no,no,no,,,,,,,,
,WA160516,16-May-16,7:40,WA,"Danial, Sean",Around bus stop,17.79575,25.15515,,,,,,,,,25,,,-,,,,-,-,,-,1,R front foot limping (blue collar with yellow stripe),no,no,no,,,,,,,,
,MOGO190516,19-May-16,9:48,MOGO,Danial,,17.80661,25.1468,,,,,,,,,24,,,8,,,,-,-,,-,-,-,yes,no,no,2 feces,,,,,,,
,MOW190516,19-May-16,10:00,MOW,Danial,,17.79134,25.2845,,,,,,,,,25,,,-,,,,-,-,,-,-,-,yes,no,no,1 fece,,,,,,,
,DUMP190516,19-May-16,11:49,DUMP,Danial,,,,,,,,,,,,26,,,8,,,,-,-,,-,-,-,yes,no,no,2 feces,,,,,,,
A,CSL200516,20-May-16,11:00,CSL,Danial,,,,,,,,,,,,23,,,6,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,MOW200516,20-May-16,12:40,MOW,Danial,,17.80661,25.1468,,,,,,,,,25,,,6,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,FOR200516,20-May-16,13:08,FOR,Danial,At Kasane Hospital,17.80166,25.14927,,,,,,,,,25,,,7,,,,-,-,,-,-,-,no,no,no,,,,,,,,
B,CSL200516,20-May-16,7:40,CSL,Danial,,17.79735,25.15554,,,,,,,,,24,,,8,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,30-May-16,11:00,KUBU,CA & Maddie,"No signal on main road, Kubu, Aliboats, or Ngina Safaris",-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,MOW300516,30-May-16,14:48,MOW,CA & Maddie,Rooms behind maintenance,17.78177,25.15899,,,,,,,,,15,No,,-,,,,Black Plastic,-,,-,-,-,no,no,no,,,,,,,,
,MOGO300516,30-May-16,15:13,MOGO,CA & Maddie,Kalahari Tours maintenance sho[,17.79308,25.15545,,,,,,,,,15,No,,2,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,WA300516,30-May-16,15:34,WA,CA & Maddie,In yard beside Gonda's- can hear them and see tracks in driveway,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,FOR300516,30-May-16,15:46,FOR,CA & Maddie,Foraging around in garbage at Chobe Land Board,,,,,,,,,,,14,No,,-,,,,Brown Plastic,-,,-,-,-,no,no,no,,,,,,,,
,CSL300516,30-May-16,15:50,CSL,CA & Maddie,Foraging infront of spa,17.80784,25.14561,,,,,,,,,23,,,-,,,,"Choppie, Half Tail",-,,-,-,-,no,no,no,,,,,,,,
,PLAT030616,3-Jun-16,12:44,PLAT,CA,In thick grass behind the houses and the primary school,-,-,,,,,,,,,20,No,,-,,,,-,-,,-,-,-,no,no,no,the area is completely fenced off,,,,,,,
,WA030616,3-Jun-16,15:37,WA,CA,Running around and foraging in drains,17.79564,25.15418,,,,,,,,,18,,,-,,,,TailTip?,-,,-,-,-,no,no,no,Tail tip in photos with MOGO,1,WA/MOGO?,,,,,
,MOGO030616,3-Jun-16,16:15,MOGO,CA,foraging in bin at Kalahari tours,17.79322,25.1556,,,,,,,,,1,No,,-,,,,-,-,,-,-,-,no,no,no,can hear others inside bin,,,,,,,
,MOW030616,3-Jun-16,16:40,MOW,CA,Went from dining area to front lawns ,17.7827,25.15833,,,,,,,,,20,No,,-,,,,Radiocollar1,-,,-,-,-,no,no,no,,,,,,,,
,WA060616,6-Jun-16,15:40,WA,CA,Adam called about injury ,,,,,,,,,,,9,No,,1,,,,-,-,,-,1,back legs limping,no,no,no,,,,,,,,
,DUMP070616,7-Jun-16,11:13,DUMP,CA,In bush just past second yard- can hear them but can't see them,17.79358,25.18388,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,UNKCh070616,7-Jun-16,11:30,UNK (Chobe Farms?),CA,In drive of Chobe Farms,-,-,,,,,,,,,22,No,,-,,,,Old radiocolar,-,,-,-,-,no,no,no,No functioning radiocollar,,,,,,,
,MOW070616,7-Jun-16,14:01,MOW,CA,Trying to come into staff housing area but warthogs chasing them away,17.78479,25.15897,,,,,,,,,4,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,Center/Wildlife?70616,7-Jun-16,15:00,Center/Wildlife?,CA,Foraging aroud rocks near center,17.81053,25.15273,,,,,,,,,10,No,,-,,,,-,-,,-,-,-,no,no,no,No functioning radiocollar,,,,,,,
,,8-Jun-16,14:00,SDRF,CA and Sam,Not seen 1. 333 degrees 17.82783 025.13045 and 2. 7 degrees 17.82783 025.13162,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,found latrine on termite mound at 17.82783 025.13045,,,,,,,
,CGL080616,8-Jun-16,15:05,CGL,CA and Sam,At maintenance shop- went into bush between maintenance and staff housing,17.8454,025. 07574,,,,,,,,,6,No,,-,,,,Radiocollar,-,,-,-,-,no,no,no,,,,,,,,
,WA090616,9-Jun-16,15:45,WA,CA and Mike,Spread between Ron's and Builder's World- one HBC,17.79687,25.15566,,,,,,,,,8,No,,-,,,,Blue plastic with yellow stripes,-,,-,-,-,no,no,no,one HBC,,,,,,,
,SDRF090616,9-Jun-16,16:15,SDRF,CA,Walking along riverfront,17.82805,25.12696,,,,,,,,,12,,,-,,,,RadiocollarSDRF,-,,-,-,-,no,no,no,,,,,,,,
,KUBU130616,13-Jun-16,10:48,KUBU,CA and Maddie,Near staff housing,17.79615,25.22757,,,,,,,,,7,,,-,,,,"Radiocollar279, Orange Plastic",-,,-,-,-,no,no,no,,,,,,,,
,DUMP130616,13-Jun-16,11:51,DUMP,CA and Maddie,In the bush behind the last house (Signal 43 degrees from 17.79960 025.18491),-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,Retrieved collar 148.069 (fell off),,,,,,,
,SEF130616,13-Jun-16,12:54,SEF,CA and Maddie,Faint signal on track behind prison,17.78932,25.17764,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CSL130616,13-Jun-16,15:39,CSL,CA and Maddie,Coming from kitchens to front lawns,17.80652,25.1461,,,,,,,,,25,,,-,,,,"Biltong, Choppie, Irene",-,,-,-,-,no,no,no,,,,,,,,
,WA/MOGO130616,13-Jun-16,16:57,WA/MOGO,CA and Maddie,At Kalahari tours maintenance shop,17.79299,25.15542,,,,,,,,,17,No,,-,,,,"RadiocollarWA, Aqua, Tail Snip",-,,-,-,-,no,no,no,,1,WA/MOGO,,,,,
,FOR130616,13-Jun-16,17:20,FOR,CA,Crossing from Ntema's Shop to den at house beside hospital,17.80218,25.14916,,,,,,,,,20,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,MOW150616,15-Jun-16,13:16,MOW,CA,Crossing from Mowana to Primary School,17.78346,25.16555,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,The area inside the school is locked,,,,,,,
,DUMP150616,15-Jun-16,15:05,DUMP,CA,At old scrap pile between Chobe Farms and Dump ,17.79496,25.18298,,,,,,,,,22,,,-,,,,Radiocollar429,-,,-,-,-,no,no,no,,,,,,,,
,,16-Jun-16,11:00,SDRF,CA,No signal along road,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,yes-8,no,no,,,,,,,,
,CGL160616,16-Jun-16,12:15,CGL,CA,Laying in bush by maintenance,17.84261,25.07565,,,,,,,,,5,No,,-,,,,-,1,,nose slightly swollen,-,-,no,no,no,,,,,,,,
,WCE160616,16-Jun-16,13:55,WCEST,CA,Faint signal and tracks from crossing the road,17.83573,25.10609,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CCH160616,16-Jun-16,15:50,CCH,CA,Foraging and playing around maintenance-- others inside den along sidewalk,17.80206,25.14918,,,,,,,,,13,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CCH200616,20-Jun-16,15:10,CCH,CA and Mitch,Foraging on front lawns- ran to maintenance when guests came through,17.80206,25.14918,,,,,,,,,20,No,,-,,,,-,1,,"nose swollen and discolored on the nasal planum, testes swollen",-,-,no,no,no,,,,,,,,
,UNK200616,20-Jun-16,15:32,UNK,CA and Mitch,Foraging in bush between Plateau and CCH,17.80142,25.21461,,,,,,,,,4,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,PLAT200616,20-Jun-16,16:03,PLAT,CA and Mitch,Foraging in yards- going from bin to bin,-,-,,,,,,,,,20,No,,-,,,,Old radiocollar,-,,-,-,-,no,no,no,,,,,,,,
,UNKPl200616,20-Jun-16,16:10,UNK PLAT,CA and Mitch,At bus station close to school,17.79554,25.165,,,,,,,,,16,,,-,,,,one with half a tail,-,,-,-,-,no,no,no,,,,,,,,
,CSL200616,20-Jun-16,16:15,CSL,CA,Foraging behind campsite bathrooms,-,-,,,,,,,,,31,,,-,,,,-,2? ,,dark noses and sneezing,-,-,no,no,no,,,,,,,,
,WA200616,20-Jun-16,17:30,WA,CA,Kalahari Tours maintenance shop,17.79402,25.15483,,,,,,,,,20,No,,-,,,,-,-,,-,-,-,no,no,no,Didn’t see mogo collar,,,,,,,
,MOW200616,20-Jun-16,19:10,MOW,CA and Lipa,In den by maintenance,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,Den is inside building,,,,,,,
A,MOW210616,21-Jun-16,14:00,MOW,CA and Mitch,In garden area behind garbage site,17.78222,25.15941,,,,,,,,,25,No,,-,,,,"Both radocollars, black plastic, BM36816",-,,-,-,-,no,no,no,capture BM36816 (stuck in fence),,,,,,,
,PLAT210616,21-Jun-16,18:30,PLAT,"CA, Lipa, Mitch, Michael",Denning at Water Affairs treatment plant in Plateau ,17.8014,25.1576,,,,,,,,,2,No,,-,,,,-,-,,-,-,-,no,no,no,Hear others under tin,,,,,,,
B,MOW210616,21-Jun-16,19:10,MOW,CA and Lipa,Already in den near maintenance (hole in sidewalk),-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,KUBU220616,22-Jun-16,9:21,KUBU,CA,In bush infront of Kubu,17.79734,25.22976,,,,,,,,,8,,,-,,,,"Radiocollar279, Orange Plastic, Lady",-,,-,-,-,no,no,no,,,,,,,,
,KWA220616,22-Jun-16,10:18,Kwalape,CA,Foraging in bush along dirt track beside Bridgetown,17.79479,25.208041,,,,,,,,,25,,,-,,,,"Telonics, New Sirtrack, Blue plastic, Old collar with half tail",-,,-,-,-,no,no,no,,,,,,FIRST TIME KWA IS MENTIONED,,
,DUMP220616,22-Jun-16,10:56,Dump,CA,In bush behind CF and Sewage ponds,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,1.) 18 degrees from 17.80149 and 025.18539 2.) 315 degrees from 17.80092 025.18631 3.) 195 degrees from 17.80103 025.18696,,,,,,,
,KWA230616,23-Jun-16,12:48,Kwalape,CA and Mike,Foraging in bin and Nkanga Hotel,17.79646,25.21385,,,,,,,,,17,No,,-,,,,"Old collar w/ half tail, Blue plastic",-,,-,-,-,no,no,no,,,,,,,,
,CCH240616,24-Jun-16,17:25,CCH,CA,Foraging at maintenance garbage ,-,-,,,,,,,,,20,No,,-,,,,Sick1,1,,distorted nasal planum and swollen testes,-,-,no,no,no,,,,,,,,
,SDRF270616,27-Jun-16,10:45,SDRF,CA,Not seen- signal 83 degree from 17.79654 025.21376,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CGL270616,27-Jun-16,11:30,CGL,CA,crossing road from Gibson's towards bush at CGL entrance,17.84206,25.07827,,,,,,,,,10,,,-,,,,Radiocollar,-,,-,-,-,no,no,no,,,,,,,,
,,27-Jun-16,14:00,WCEast,CA,No signal on river road or lower route,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CCH270616,27-Jun-16,15:45,CCH,CA,Few foraging in maintenance bin and some on front lawns of lodge,-,-,,,,,,,,,-,,,-,,,,Radiocollar,1,,"nose swollen and discolored on the nasal planum, testes swollen",-,-,no,no,no,,,,,,,,
,,27-Jun-16,17:45,PLAT,CA and Mike,"No signal (main plateau road, chillers, schoolar, track down to CARACAL)",-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,WA270616,27-Jun-16,18:10,WA,CA and Mike,Denning inside Builder's World,17.79646,25.15521,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,gate locked,,,,,,,
,DUMP270616,27-Jun-16,21:00,DUMP,CA and Mike,Denning under pipes behind tractor shed,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CSL270616,27-Jun-16,21:30,CSL,CA and Mike,Denning in old forestry den @ labor department,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,MOW290616,29-Jun-16,18:00,MOW,CA and Lipa,Denning in hollowed out sidewalk by maintenance ,-,-,,,,,,,,,2,No,,-,,,,-,-,,-,-,-,no,no,no,others inside den,,,,,,,
,SEF290616,29-Jun-16,18:15,SEF,CA and Lipa,Went into den in rocks behind prison,17.84205,25.07875,,,,,,,,,20,No,,-,,,,"RadiocollarMale, RadiocollarFEMALE",-,,-,-,-,no,no,no,,,,,,,,
,UNK300616,30-Jun-16,14:00,UNK,CA and Lipa,Near watercart junction,17.82915,25.1201,,,,,,,,,11,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CGL300616,30-Jun-16,14:53,CGL,CA and Lipa,Foraging outside garbage ,17.84172,25.076,,,,,,,,,4,No,,-,,,,-,1,,nose slightly swollen,-,-,no,no,no,others in bush,,,,,,,
,,30-Jun-16,15:00,WCEast,CA and Lipa,No signal,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,KUBU010716,1-Jul-16,9:28,KUBU,CA,Foraging in lawns near Tempe's house,17.79623,25.227,,,,,,,,,8,,,-,,,,"Radiocollar279, Orange, Pink",-,,-,-,-,no,no,no,,,,,,,,
,WA010716,1-Jul-16,17:00,WA,CA,In drain behind spar,17.79532,25.15262,,,,,,,,,3,No,,-,,,,RadiocollarWA,-,,-,-,-,no,no,no,MOGO not with them,,WA/MOGO,1,,,,
,UNKSef010716,1-Jul-16,17:30,UNK,CA,At sefelana,-,-,,,,,,,,,12,No,,-,,,,-,-,,-,-,-,no,no,no,No collars,,,,,,,
,KWA050716,5-Jul-16,17:45,Kwalape,"CA, Lipa, Tom",In den behind CTO,17.79535,25.15273,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,SEF060716,6-Jul-16,17:00,SEF,CA and Sean,Still in rocks behind prison,-,-,,,,,,,,,20,No,,-,,,,"RadiocollarMale, RadiocollarFEMALE",-,,-,-,-,no,no,no,,,,,,,,
,DUMP060716,6-Jul-16,17:30,DUMP,CA and Lipa,In pipe den by tractor shed,-,-,,,,,,,,,20,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CSL060716,6-Jul-16,17:45,CSL,Mitch,Crossing pool area,-,-,,,,,,,,,17,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,MOW060716,6-Jul-16,18:00,MOW,CA and Lipa,In den under bricks by maintenance ,-,-,,,,,,,,,2,No,,-,,,,Radiocollar,-,,-,-,-,no,no,no,Not sure which collared individual it was-- peaking out of den.,,,,,,,
,CCH070716,7-Jul-16,17:00,CCH,CA and Lipa,Spread out between front lawns and maintenance ,17.79494,25.21364,,,,,,,,,19,No,,-,,,,Radiocollar,-,,-,-,-,no,no,no,Didn’t see the sick male,,,,,,,
,CSL070716,7-Jul-16,17:45,CSL,CA and Lipa,Going from CSL to Labour den,17.82756,25.13784,,,,,,,,,10,No,,-,,,,RadiocollarChoppie,-,,-,-,-,no,no,no,,,,,,,,
,FOR070716,7-Jul-16,18:15,FOR,CA and Lipa,Signal inside Gonda Chadwick's house,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,Not seen- Gate locked,,,,,,,
,WA070716,7-Jul-16,18:30,WA,CA and Lipa,Inside Builder's World,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,Gate locked,,,,,,,
,PLAT080716,8-Jul-16,17:07,PLAT,CA and Mike,Denning under tin at Water affairs treatment plant,-,-,,,,,,,,,10,No,,-,,,,-,-,,-,-,-,no,no,no,others under tin ,,,,,,,
,,8-Jul-16,17:30,MOGO,CA and Mike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KUBU080716,8-Jul-16,18:45,KUBU,CA and Mike,Inside Mike Francis's shop,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,KWA080716,8-Jul-16,19:00,Kwalape,CA and Mike,Signal in bush behind Kwalape ,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,FOR0110716,11-Jul-16,16:12,FOR,CA,Foraging at Ministry of Transport,17.80407,25.14837,,,,,,,,,4,No,,-,,,,-,-,,-,-,-,no,no,no,Ran under building (den site),,,,,,,
,MOW110716,11-Jul-16,16:49,MOW,CA,At baobab at the entrance of Mowana. ,-,-,,,,,,,,,20,No,,-,,,,-,-,,-,-,-,no,no,no,Inside the baobab until people came. They ran to the dens beside the Seboba fence. ,,,,,,,
,CSL110716,11-Jul-16,17:17,CSL,CA,In the park past Bush Lodge,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,KUBU120716,12-Jul-16,9:30,KUBU,CA,At the back of the crocodile farm,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,FOR120716,12-Jul-16,16:14,FOR,CA,At the transport office,17.80407,25.14837,,,,,,,,,10,No,,-,,,,-,-,,-,-,-,no,no,no,others under building,,,,,,,
,CSL120716,12-Jul-16,16:45,CSL,CA,Foraging infront of Mariam and Tim's house,-,-,,,,,,,,,15,No,,-,,,,RadiocollarChoppie,-,,-,-,-,no,no,no,,,,,,,,
,WA120616,12-Jun-16,17:17,WA,CA,Foraging in Kalahari Tours bin,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,WA130616,13-Jul-16,15:00,WA,CA,In Kalahari tours maintenance shop,-,-,,,,,,,,,10,No,,-,,,,Radiocollar,-,,-,-,-,yes,no,no,10 feces,,,,,,,
,,13-Jul-16,16:00,CSL,CA,No signal,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,yes,no,no,21 feces. latrine at Mariam and Tim's house,,,,,,,
,MOW130716,13-Jul-16,18:19,MOW,CA,Under baobab at main lodge,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,DUMP130716,13-Jul-16,18:45,DUMP,CA,In pipes by tractor shed,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,13-Jul-16,19:00,SEF,CA,No signal,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,"Thebe, Dumpsite, Sefelana",,,,,,,
,,14-Jul-16,16:30,KUBU,CA and Sean,No signal,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,KWA140716,14-Jul-16,18:30,Kwalape,CA and Sean,Denning at house beside Bridgetown (Patrick's),17.79648,25.21389,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CSL140716,14-Jul-16,19:00,CSL,CA and Sean,Denning at Labour ,17.82354,25.11616,,,,,,,,,-,,,-,,,,-,-,,-,1,Dragging both back legs,no,no,no,Rex phone about the injured one- apparently it has a yellow collar (Irene?),,,,,,,
,CSL150716,15-Jul-16,,CSL,Mike and Sean,Denning at Labour Office,17.82354,25.11616,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,Camera set,,,,,,,
,WA150716,15-Jul-16,,WA,Mike and Sean,Denning at drain outside of the Old House,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,15-Jul-16,,SEF,Mike and Sean,No signal ,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,19-Jul-16,16:00,Kubu,CA and Michelle,"No signal around Kubu, BDF, Bakwena, Ngina Safaris, New Stands",-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,PLAT190716,19-Jul-16,18:10,Plat,CA,Dennning at Water Affairs treatment plant in Plat,17.80159,25.15507,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,DUMP190716,19-Jul-16,18:39,Dump,CA,Denning at pipes behind tractor shed,17.79493,25.18295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CSL200716,20-Jul-16,8:00,CSL,CA,Foraging and digging around the den between the rooms closest to campsites,17.79493,25.18295,,,,,,,,,20,No,,-,,,,Choppie,2,,"1 Emaciated, Swollen Nose, Bledding Nose 2. Nose swollen and sunken, glossy eyes",-,-,yes,no,no,21 feces,,,,,,,
,PLAT200716,20-Jul-16,9:20,PLAT,CA,Foraging within the Water Affairs treatment plant,17.80159,25.15507,,,,,,,,,15,No,,-,,,,Old Radiocollar,-,,-,-,-,yes,no,no,17 feces,,,,,,,
,SDRF200716,20-Jul-16,16:30,SDRF,CA,Running behind bushes,17.82793,25.12884,,,,,,,,,3,No,,-,,,,Radiocollar,-,,-,-,-,no,no,no,,,,,,,,
,CGL200716,20-Jul-16,17:09,CGL,CA,Digging under and beside concrete stairs at Maintenance ,17.84204,25.07586,,,,,,,,,4,Yes,,-,,,,Radiocollar,-,,-,-,-,no,no,no,No sign of other 8,,,,,,,
,WCW200716,20-Jul-16,17:27,WCWst,CA,Emerging from termite mound (clown car tree) and running towards river,17.84235,25.08593,,,,,,,,,25,No,,-,,,,-,2,,"1 Emaciated, hunched back 2 Emaciated, hunched back, having trouble keeping up with troop",-,-,no,no,no,One sick individual contact calling and going in the opposite direction of the troop,,,,,,,
,FOR200716,20-Jul-16,18:48,FOR,CA and Mike,Denning in transport office,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,WA200716,20-Jul-16,17:13,WA,CA and Mike,Denning in drain infront of Shell,,,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,MOGO200716,20-Jul-16,17:35,MOGO,CA and Mike,Denning in container in Kalahari Tours,17.79295,25.15538,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,MOW210716,21-Jul-16,8:00,MOW,CA,Signal in Seboba (361 degrees) from baobab at entrance of Mowana,17.79622,25.1534,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,MOGO210716,21-Jul-16,9:10,MOGO,CA,Foraging in bin beisde Kalahari container den,17.79295,25.15538,,,,,,,,,5,No,,-,,,,-,-,,-,-,-,no,no,no,Can hear others going towards river,,,,,,,
,CSL210716,21-Jul-16,6:05,CSL,CA,Digging around the den between rooms,17.79493,25.18295,,,,,,,,,3,No,,-,,,,-,-,,-,-,-,no,no,no,Others inside den,,,,,,,
,KUBU210716,21-Jul-16,6:45,KUBU,CA,Already in den at crocfarm/goat house,,,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,Den is inside the yard with the goats between Sarah and Ryans,,,,,,,
,CCH220716,22-Jul-16,6:00,CCH,CA,Some foraging in bin and other already in den under the water tanks,17.80817,25.153,,,,,,,,,4,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,SEF220716,22-Jul-16,7:05,SEF,CA,Signal on the road behind the prisons,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,DUMP220716,22-Jul-16,7:30,DUMP,CA,Singnal inside the dumpsite ,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,Put the camera beside the transformer room,,,,,,,
,MOGO240716,24-Jul-16,10:18,MOGO,Sam,Crossing through Kalahari tours,17.79295,25.15538,,,,,,,,,10,No,,-,,,,Radiocollar,-,,-,-,-,no,no,no,,,,,,,,
,SEF250716,25-Jul-16,8:52,SEF,Lee,At the main gate of Thebe,-,-,,,,,,,,,20,No,,-,,,,-,-,,-,-,-,no,no,no,Back in the prisons by the 9:30,,,,,,,
,DUMP250716,25-Jul-16,17:50,DUMP,CA,,17.80815,17.80815,No Rain,Urban,-,90,-,Heavily degraded,Scrap heap,Shrub savanna,,,,,,,,,,,,,,,,,,,,,,,,
,SEF250716B,25-Jul-16,18:17,SEF,CA,,17.78917,25.17737,No Rain,Undeveloped ,-,90,-,Slightly degraded,Rock pile,Shrub savanna ,,,,,,,,,,,,,,,,,,,,,,,,
,MOW250716,25-Jul-16,18:36,MOW,CA,,,,No Rain,Lodge,-,90,-,Buildings,Under baobab ,Degraded riparian forest,,,,,,,,,,,,,,,,,,,,,,,,
,MOGO250716,25-Jul-16,18:50,MOGO,CA,,-,-,No Rain,-,-,90,-,-,-,-,15,No,,,,,,,,,,,,,,,,,,,,,,
,CSL250716,25-Jul-16,19:10,CSL,CA,,17.80409,25.14834,No Rain,Urban,-,90,-,Buildings,Slash pile,Degraded riparian forest,10,No,-,,,,,,,,,,,,,,,,,,,,,
,KUBU260716,26-Jul-16,17:30,KUBU,CA,,-,-,No Rain,-,-,30,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
